produce_id,subtype_name,origin_state,taste_profile,scientific_name,marathi_name,description,info
1,Alphonso (Hapus),Maharashtra,"Sweet, aromatic, rich saffron flavour, low fibre",Mangifera indica cv. Alphonso,Hapus,GI-tagged variety from Ratnagiri & Sindhudurg; considered the king of mangoes; peak season April–May; ideal for pulp and fresh consumption.,"GI-tagged variety from Ratnagiri & Sindhudurg; considered the king of mangoes; peak season April–May; ideal for pulp and fresh consumption.

Scientific name: Mangifera indica cv. Alphonso

Origin: Maharashtra

Taste profile: Sweet, aromatic, rich saffron flavour, low fibre

Marathi name: Hapus"
1,Kesar,Gujarat/Maharashtra,"Sweet, less fibrous, deep orange pulp",Mangifera indica cv. Kesar,Kesar,Grown in Aurangabad and Marathwada; second most exported variety; saffron-coloured pulp; season May–June.,"Grown in Aurangabad and Marathwada; second most exported variety; saffron-coloured pulp; season May–June.

Scientific name: Mangifera indica cv. Kesar

Origin: Gujarat/Maharashtra

Taste profile: Sweet, less fibrous, deep orange pulp

Marathi name: Kesar"
1,Langra,Uttar Pradesh/Maharashtra,"Sweet-sour, green skin, rich flavour",Mangifera indica cv. Langra,Langra,Grown in Nashik and Pune regions; medium-large fruit; greenish skin even when ripe.,"Grown in Nashik and Pune regions; medium-large fruit; greenish skin even when ripe.

Scientific name: Mangifera indica cv. Langra

Origin: Uttar Pradesh/Maharashtra

Taste profile: Sweet-sour, green skin, rich flavour

Marathi name: Langra"
1,Dasheri,Uttar Pradesh/Maharashtra,"Sweet, fibrous, aromatic",Mangifera indica cv. Dasheri,Dasheri,Long fruit with thin skin; grown in Vidarbha; season June–July.,"Long fruit with thin skin; grown in Vidarbha; season June–July.

Scientific name: Mangifera indica cv. Dasheri

Origin: Uttar Pradesh/Maharashtra

Taste profile: Sweet, fibrous, aromatic

Marathi name: Dasheri"
1,Totapuri,South India/Maharashtra,"Mildly sweet, tangy, firm, low fibre",Mangifera indica cv. Totapuri,Totapuri,"Large, elongated beak-shaped fruit; widely processed into mango pulp and pickle; grown in Solapur and Osmanabad.","Large, elongated beak-shaped fruit; widely processed into mango pulp and pickle; grown in Solapur and Osmanabad.

Scientific name: Mangifera indica cv. Totapuri

Origin: South India/Maharashtra

Taste profile: Mildly sweet, tangy, firm, low fibre

Marathi name: Totapuri"
1,Pairi,Maharashtra,"Sweet, juicy, mild sour notes",Mangifera indica cv. Pairi,Pairi,Early season variety from Konkan; oval fruit; eaten fresh; also called Pyari.,"Early season variety from Konkan; oval fruit; eaten fresh; also called Pyari.

Scientific name: Mangifera indica cv. Pairi

Origin: Maharashtra

Taste profile: Sweet, juicy, mild sour notes

Marathi name: Pairi"
1,Ratna,Maharashtra,"Very sweet, aromatic, less fibrous",Mangifera indica cv. Ratna,Ratna,Hybrid developed at Dr BSKKV Dapoli; Alphonso × Neelum cross; regular bearer; popular in Konkan.,"Hybrid developed at Dr BSKKV Dapoli; Alphonso × Neelum cross; regular bearer; popular in Konkan.

Scientific name: Mangifera indica cv. Ratna

Origin: Maharashtra

Taste profile: Very sweet, aromatic, less fibrous

Marathi name: Ratna"
1,Sindhu,Maharashtra,"Sweet, aromatic, low fibre, long shelf life",Mangifera indica cv. Sindhu,Sindhu,Hybrid (Ratna × Alphonso) developed at Vengurle; excellent export quality; shelf life 10–12 days.,"Hybrid (Ratna × Alphonso) developed at Vengurle; excellent export quality; shelf life 10–12 days.

Scientific name: Mangifera indica cv. Sindhu

Origin: Maharashtra

Taste profile: Sweet, aromatic, low fibre, long shelf life

Marathi name: Sindhu"
1,Neelum,Tamil Nadu/Maharashtra,"Sweet, mild, fibrous",Mangifera indica cv. Neelum,Nilam,"Late season variety (June–August); grown in Marathwada and Vidarbha; small-medium fruit, yellow skin.","Late season variety (June–August); grown in Marathwada and Vidarbha; small-medium fruit, yellow skin.

Scientific name: Mangifera indica cv. Neelum

Origin: Tamil Nadu/Maharashtra

Taste profile: Sweet, mild, fibrous

Marathi name: Nilam"
1,Amrapali,Maharashtra,"Very sweet, deep red-orange flesh",Mangifera indica cv. Amrapali,Amrapali,Dwarf hybrid; suitable for high-density planting; grown in Nashik and Jalgaon.,"Dwarf hybrid; suitable for high-density planting; grown in Nashik and Jalgaon.

Scientific name: Mangifera indica cv. Amrapali

Origin: Maharashtra

Taste profile: Very sweet, deep red-orange flesh

Marathi name: Amrapali"
1,Mallika,Maharashtra,"Sweet, juicy, long shelf life",Mangifera indica cv. Mallika,Mallika,Neelum × Dasheri hybrid; regular bearer; wide adaptability; popular in export markets.,"Neelum × Dasheri hybrid; regular bearer; wide adaptability; popular in export markets.

Scientific name: Mangifera indica cv. Mallika

Origin: Maharashtra

Taste profile: Sweet, juicy, long shelf life

Marathi name: Mallika"
1,Vanraj,Gujarat/Maharashtra,"Sweet, mild, fibrous",Mangifera indica cv. Vanraj,Vanraj,"Developed at NAU Gujarat; grown in Nashik, Dhule; tolerant to adverse conditions.","Developed at NAU Gujarat; grown in Nashik, Dhule; tolerant to adverse conditions.

Scientific name: Mangifera indica cv. Vanraj

Origin: Gujarat/Maharashtra

Taste profile: Sweet, mild, fibrous

Marathi name: Vanraj"
2,Thompson Seedless,Maharashtra,"Sweet, mild, crisp, seedless",Vitis vinifera cv. Thompson Seedless,Thompson Seedless,"Most widely grown table and raisin grape in Nashik, Sangli, Pune; green-gold colour; dominant export variety; also base for wine.","Most widely grown table and raisin grape in Nashik, Sangli, Pune; green-gold colour; dominant export variety; also base for wine.

Scientific name: Vitis vinifera cv. Thompson Seedless

Origin: Maharashtra

Taste profile: Sweet, mild, crisp, seedless

Marathi name: Thompson Seedless"
2,Tas-A-Ganesh,Maharashtra,"Sweet, firm, large berries, seedless",Vitis vinifera cv. Tas-A-Ganesh,Tas-A-Ganesh,Early maturing mutation of Thompson; large elongated berries; popular in domestic and export market; Nashik and Sangli.,"Early maturing mutation of Thompson; large elongated berries; popular in domestic and export market; Nashik and Sangli.

Scientific name: Vitis vinifera cv. Tas-A-Ganesh

Origin: Maharashtra

Taste profile: Sweet, firm, large berries, seedless

Marathi name: Tas-A-Ganesh"
2,Sonaka,Maharashtra,"Sweet, firm, elongated, seedless",Vitis vinifera cv. Sonaka,Sonaka,"Developed in Maharashtra; excellent export quality; long shelf life; grown in Nashik, Pune; superior post-harvest quality.","Developed in Maharashtra; excellent export quality; long shelf life; grown in Nashik, Pune; superior post-harvest quality.

Scientific name: Vitis vinifera cv. Sonaka

Origin: Maharashtra

Taste profile: Sweet, firm, elongated, seedless

Marathi name: Sonaka"
2,Sharad Seedless,Maharashtra,"Sweet, crisp, medium size, seedless",Vitis vinifera cv. Sharad Seedless,Sharad Seedless,Late-maturing variety; Nashik; green-white berries; popular raisin grape.,"Late-maturing variety; Nashik; green-white berries; popular raisin grape.

Scientific name: Vitis vinifera cv. Sharad Seedless

Origin: Maharashtra

Taste profile: Sweet, crisp, medium size, seedless

Marathi name: Sharad Seedless"
2,Flame Seedless,USA/Maharashtra,"Sweet, slightly tart, red, seedless",Vitis vinifera cv. Flame Seedless,Flame Seedless,Red-berry seedless variety; grown in Nashik; attractive colour; export variety.,"Red-berry seedless variety; grown in Nashik; attractive colour; export variety.

Scientific name: Vitis vinifera cv. Flame Seedless

Origin: USA/Maharashtra

Taste profile: Sweet, slightly tart, red, seedless

Marathi name: Flame Seedless"
2,Crimson Seedless,USA/Maharashtra,"Sweet, firm, dark red, seedless",Vitis vinifera cv. Crimson Seedless,Crimson Seedless,Large red berries; late season; high sugar content; export quality; Nashik.,"Large red berries; late season; high sugar content; export quality; Nashik.

Scientific name: Vitis vinifera cv. Crimson Seedless

Origin: USA/Maharashtra

Taste profile: Sweet, firm, dark red, seedless

Marathi name: Crimson Seedless"
2,Manik Chaman,Maharashtra,"Sweet, large berries, red-black, seeded",Vitis vinifera cv. Manik Chaman,Manik Chaman,"Also called Beauty Seedless; grown in Nashik, Sangli; large berries; domestic market.","Also called Beauty Seedless; grown in Nashik, Sangli; large berries; domestic market.

Scientific name: Vitis vinifera cv. Manik Chaman

Origin: Maharashtra

Taste profile: Sweet, large berries, red-black, seeded

Marathi name: Manik Chaman"
3,Nagpur Orange,Maharashtra,"Sweet-tangy, juicy, aromatic, thin skin",Citrus reticulata cv. Nagpur Mandarin,Nagpur Santra,"GI-tagged; grown in Nagpur, Amravati, Wardha; season Nov–Jan; star export variety; deep orange colour.","GI-tagged; grown in Nagpur, Amravati, Wardha; season Nov–Jan; star export variety; deep orange colour.

Scientific name: Citrus reticulata cv. Nagpur Mandarin

Origin: Maharashtra

Taste profile: Sweet-tangy, juicy, aromatic, thin skin

Marathi name: Nagpur Santra"
3,Valencia Orange,Maharashtra,"Sweet, juicy, low seeds",Citrus sinensis cv. Valencia,Valencia Santra,Sweet orange type; grown in Marathwada; used for juice.,"Sweet orange type; grown in Marathwada; used for juice.

Scientific name: Citrus sinensis cv. Valencia

Origin: Maharashtra

Taste profile: Sweet, juicy, low seeds

Marathi name: Valencia Santra"
3,Mosambi (Sweet Lime),Maharashtra,"Mildly sweet, low acid",Citrus limetta,Mosambi,"Sweet lime; highly popular for juice; grown in Pune, Solapur, Aurangabad; year-round availability.","Sweet lime; highly popular for juice; grown in Pune, Solapur, Aurangabad; year-round availability.

Scientific name: Citrus limetta

Origin: Maharashtra

Taste profile: Mildly sweet, low acid

Marathi name: Mosambi"
3,Hamlin Orange,Maharashtra,"Sweet, juicy, early season",Citrus sinensis cv. Hamlin,Hamlin Santra,Early-bearing sweet orange; Marathwada and Vidarbha.,"Early-bearing sweet orange; Marathwada and Vidarbha.

Scientific name: Citrus sinensis cv. Hamlin

Origin: Maharashtra

Taste profile: Sweet, juicy, early season

Marathi name: Hamlin Santra"
4,Grand Naine,Maharashtra,"Sweet, firm, long shelf life",Musa acuminata cv. Grand Naine,Grand Naine,"Most commercially grown; Jalgaon, Nandurbar; GI-tagged Jalgaon banana; export quality; tall plant, medium bunch.","Most commercially grown; Jalgaon, Nandurbar; GI-tagged Jalgaon banana; export quality; tall plant, medium bunch.

Scientific name: Musa acuminata cv. Grand Naine

Origin: Maharashtra

Taste profile: Sweet, firm, long shelf life

Marathi name: Grand Naine"
4,Dwarf Cavendish,Maharashtra,"Sweet, creamy, slightly tangy",Musa acuminata cv. Dwarf Cavendish,Dwarf Kela,"Short statured; wind resistant; Jalgaon, Pune; widely used commercially and domestically.","Short statured; wind resistant; Jalgaon, Pune; widely used commercially and domestically.

Scientific name: Musa acuminata cv. Dwarf Cavendish

Origin: Maharashtra

Taste profile: Sweet, creamy, slightly tangy

Marathi name: Dwarf Kela"
4,Robusta,Maharashtra,"Sweet, aromatic, medium-large fruit",Musa acuminata cv. Robusta,Robusta Kela,Taller than Dwarf Cavendish; widely grown in Maharashtra; good disease resistance.,"Taller than Dwarf Cavendish; widely grown in Maharashtra; good disease resistance.

Scientific name: Musa acuminata cv. Robusta

Origin: Maharashtra

Taste profile: Sweet, aromatic, medium-large fruit

Marathi name: Robusta Kela"
4,Shrimanthi,Maharashtra,"Very sweet, soft, small fruit",Musa acuminata cv. Shrimanthi,Shrimanthi,Local traditional variety from Konkan and Kolhapur; festival use; aromatic.,"Local traditional variety from Konkan and Kolhapur; festival use; aromatic.

Scientific name: Musa acuminata cv. Shrimanthi

Origin: Maharashtra

Taste profile: Very sweet, soft, small fruit

Marathi name: Shrimanthi"
4,Basrai,Maharashtra,"Sweet, aromatic, plump",Musa acuminata cv. Basrai,Basrai Kela,Traditional Jalgaon variety; basis of Jalgaon's banana fame; good yield and flavour.,"Traditional Jalgaon variety; basis of Jalgaon's banana fame; good yield and flavour.

Scientific name: Musa acuminata cv. Basrai

Origin: Maharashtra

Taste profile: Sweet, aromatic, plump

Marathi name: Basrai Kela"
5,Allahabad Safeda,Uttar Pradesh/Maharashtra,"Sweet, white pulp, mild flavour",Psidium guajava cv. Allahabad Safeda,Safeda Peru,Most popular commercial variety; grown across Maharashtra; white flesh; high yield; good shelf life.,"Most popular commercial variety; grown across Maharashtra; white flesh; high yield; good shelf life.

Scientific name: Psidium guajava cv. Allahabad Safeda

Origin: Uttar Pradesh/Maharashtra

Taste profile: Sweet, white pulp, mild flavour

Marathi name: Safeda Peru"
5,Lalit,Maharashtra,"Sweet, pink pulp, aromatic",Psidium guajava cv. Lalit,Lalit Peru,"Developed at IARI; pink-fleshed; high Vitamin C; grown in Nashik, Pune.","Developed at IARI; pink-fleshed; high Vitamin C; grown in Nashik, Pune.

Scientific name: Psidium guajava cv. Lalit

Origin: Maharashtra

Taste profile: Sweet, pink pulp, aromatic

Marathi name: Lalit Peru"
5,Shweta,Maharashtra,"Sweet, soft, white pulp",Psidium guajava cv. Shweta,Shweta Peru,High-yielding variety; good post-harvest quality; Nashik.,"High-yielding variety; good post-harvest quality; Nashik.

Scientific name: Psidium guajava cv. Shweta

Origin: Maharashtra

Taste profile: Sweet, soft, white pulp

Marathi name: Shweta Peru"
5,Lucknow-49 (Sardar),Uttar Pradesh/Maharashtra,"Sweet, juicy, white-yellow pulp",Psidium guajava cv. L-49,Lucknow Peru,Very popular; round fruit; widely adapted; grown across Maharashtra.,"Very popular; round fruit; widely adapted; grown across Maharashtra.

Scientific name: Psidium guajava cv. L-49

Origin: Uttar Pradesh/Maharashtra

Taste profile: Sweet, juicy, white-yellow pulp

Marathi name: Lucknow Peru"
6,Bhagwa,Maharashtra,"Sweet, deep red arils, low seed hardness, juicy",Punica granatum cv. Bhagwa,Bhagwa Dalimb,"GI-tagged; grown in Solapur, Sangli, Nashik, Pune; saffron-red thick skin; 65–70% aril weight; top export variety to Middle East, Europe.","GI-tagged; grown in Solapur, Sangli, Nashik, Pune; saffron-red thick skin; 65–70% aril weight; top export variety to Middle East, Europe.

Scientific name: Punica granatum cv. Bhagwa

Origin: Maharashtra

Taste profile: Sweet, deep red arils, low seed hardness, juicy

Marathi name: Bhagwa Dalimb"
6,Ganesh,Maharashtra,"Sweet, mild, pink arils",Punica granatum cv. Ganesh,Ganesh Dalimb,Traditional variety; Pune and Nashik; large soft-seeded fruit; good for fresh market.,"Traditional variety; Pune and Nashik; large soft-seeded fruit; good for fresh market.

Scientific name: Punica granatum cv. Ganesh

Origin: Maharashtra

Taste profile: Sweet, mild, pink arils

Marathi name: Ganesh Dalimb"
6,Mridula,Karnataka/Maharashtra,"Very sweet, deep red, soft seeds",Punica granatum cv. Mridula,Mridula Dalimb,Deep red attractive arils; grown in Solapur and Osmanabad; early-bearing.,"Deep red attractive arils; grown in Solapur and Osmanabad; early-bearing.

Scientific name: Punica granatum cv. Mridula

Origin: Karnataka/Maharashtra

Taste profile: Very sweet, deep red, soft seeds

Marathi name: Mridula Dalimb"
6,Arakta,Karnataka/Maharashtra,"Sweet, deep red, attractive appearance",Punica granatum cv. Arakta,Arakta Dalimb,Large fruit; bright red skin; grown in Marathwada and Nashik; good export potential.,"Large fruit; bright red skin; grown in Marathwada and Nashik; good export potential.

Scientific name: Punica granatum cv. Arakta

Origin: Karnataka/Maharashtra

Taste profile: Sweet, deep red, attractive appearance

Marathi name: Arakta Dalimb"
7,Balanagar,Telangana/Maharashtra,"Sweet, creamy, white flesh, low seeds",Annona squamosa cv. Balanagar,Balanagar Sitafal,"Most popular commercial variety in Maharashtra; Nashik, Aurangabad; large fruit; high pulp recovery.","Most popular commercial variety in Maharashtra; Nashik, Aurangabad; large fruit; high pulp recovery.

Scientific name: Annona squamosa cv. Balanagar

Origin: Telangana/Maharashtra

Taste profile: Sweet, creamy, white flesh, low seeds

Marathi name: Balanagar Sitafal"
7,Red Sitafal,Maharashtra,"Very sweet, soft, aromatic, reddish skin",Annona reticulata,Lal Sitafal,Bullock's heart variety; red skin; higher sweetness; Nashik and Marathwada.,"Bullock's heart variety; red skin; higher sweetness; Nashik and Marathwada.

Scientific name: Annona reticulata

Origin: Maharashtra

Taste profile: Very sweet, soft, aromatic, reddish skin

Marathi name: Lal Sitafal"
8,Red Lady,Taiwan/Maharashtra,"Very sweet, red-orange flesh, firm",Carica papaya cv. Red Lady,Red Lady Papai,"F1 hybrid; most popular commercial variety; Pune, Nashik; gynoecious; high yield; disease resistant.","F1 hybrid; most popular commercial variety; Pune, Nashik; gynoecious; high yield; disease resistant.

Scientific name: Carica papaya cv. Red Lady

Origin: Taiwan/Maharashtra

Taste profile: Very sweet, red-orange flesh, firm

Marathi name: Red Lady Papai"
8,Taiwan,Taiwan/Maharashtra,"Sweet, orange flesh, medium size",Carica papaya cv. Taiwan 786,Taiwan Papai,Widely grown hybrid; dual purpose (fruit + raw); Jalgaon and Nashik; year-round production.,"Widely grown hybrid; dual purpose (fruit + raw); Jalgaon and Nashik; year-round production.

Scientific name: Carica papaya cv. Taiwan 786

Origin: Taiwan/Maharashtra

Taste profile: Sweet, orange flesh, medium size

Marathi name: Taiwan Papai"
9,Kalipatti,Maharashtra,"Very sweet, granular, brown flesh",Manilkara zapota cv. Kalipatti,Kalipatti Chiku,"Most popular commercial variety; Palghar, Nashik; oval shape; high yield; good shelf life.","Most popular commercial variety; Palghar, Nashik; oval shape; high yield; good shelf life.

Scientific name: Manilkara zapota cv. Kalipatti

Origin: Maharashtra

Taste profile: Very sweet, granular, brown flesh

Marathi name: Kalipatti Chiku"
9,Cricket Ball,Maharashtra,"Sweet, large, round, high sugar",Manilkara zapota cv. Cricket Ball,Cricket Ball Chiku,Round large fruit; high market value; Pune and Nashik.,"Round large fruit; high market value; Pune and Nashik.

Scientific name: Manilkara zapota cv. Cricket Ball

Origin: Maharashtra

Taste profile: Sweet, large, round, high sugar

Marathi name: Cricket Ball Chiku"
10,West Coast Tall,Maharashtra,"Rich coconut water, thick white copra",Cocos nucifera cv. West Coast Tall,Konkan Naral,Tall variety; most widely grown in Konkan; high copra yield; drought tolerant once established.,"Tall variety; most widely grown in Konkan; high copra yield; drought tolerant once established.

Scientific name: Cocos nucifera cv. West Coast Tall

Origin: Maharashtra

Taste profile: Rich coconut water, thick white copra

Marathi name: Konkan Naral"
10,Dwarf,Maharashtra,"Sweet tender water, thin husk",Cocos nucifera var. nana,Bodka Naral,Early bearing; tender coconut market; Ratnagiri and Sindhudurg; shorter lifespan than tall.,"Early bearing; tender coconut market; Ratnagiri and Sindhudurg; shorter lifespan than tall.

Scientific name: Cocos nucifera var. nana

Origin: Maharashtra

Taste profile: Sweet tender water, thin husk

Marathi name: Bodka Naral"
11,Local Konkan,Maharashtra,"Sweet, aromatic, orange-yellow flesh",Artocarpus heterophyllus (local),Konkan Phanas,Traditional variety from Konkan; high-quality sweet bulbs; used raw as vegetable and ripe as fruit.,"Traditional variety from Konkan; high-quality sweet bulbs; used raw as vegetable and ripe as fruit.

Scientific name: Artocarpus heterophyllus (local)

Origin: Maharashtra

Taste profile: Sweet, aromatic, orange-yellow flesh

Marathi name: Konkan Phanas"
11,Singapore,Malaysia/Maharashtra,"Sweet, firm, less sticky",Artocarpus heterophyllus cv. Singapore,Singapore Phanas,Less latex; firmer bulbs; good for processing; grown in Konkan.,"Less latex; firmer bulbs; good for processing; grown in Konkan.

Scientific name: Artocarpus heterophyllus cv. Singapore

Origin: Malaysia/Maharashtra

Taste profile: Sweet, firm, less sticky

Marathi name: Singapore Phanas"
12,NA-7,Maharashtra,"Sour, astringent, large fruit",Phyllanthus emblica cv. NA-7,NA-7 Avala,Most popular commercial variety in Maharashtra; large fruit; Nashik and Aurangabad; high Vitamin C.,"Most popular commercial variety in Maharashtra; large fruit; Nashik and Aurangabad; high Vitamin C.

Scientific name: Phyllanthus emblica cv. NA-7

Origin: Maharashtra

Taste profile: Sour, astringent, large fruit

Marathi name: NA-7 Avala"
12,Krishna,Maharashtra,"Sour, medium size, firm",Phyllanthus emblica cv. Krishna,Krishna Avala,High yielding; grown in Marathwada; good for processing.,"High yielding; grown in Marathwada; good for processing.

Scientific name: Phyllanthus emblica cv. Krishna

Origin: Maharashtra

Taste profile: Sour, medium size, firm

Marathi name: Krishna Avala"
12,Kanchan,Maharashtra,"Mildly sour, attractive appearance",Phyllanthus emblica cv. Kanchan,Kanchan Avala,Regular bearer; Nashik; good for candy and pickle industry.,"Regular bearer; Nashik; good for candy and pickle industry.

Scientific name: Phyllanthus emblica cv. Kanchan

Origin: Maharashtra

Taste profile: Mildly sour, attractive appearance

Marathi name: Kanchan Avala"
13,Camarosa,USA/Maharashtra,"Sweet-tart, firm, bright red",Fragaria × ananassa cv. Camarosa,Camarosa Strawberry,Most popular variety in Mahabaleshwar; large berry; good shelf life; high yield; fresh market and processing.,"Most popular variety in Mahabaleshwar; large berry; good shelf life; high yield; fresh market and processing.

Scientific name: Fragaria × ananassa cv. Camarosa

Origin: USA/Maharashtra

Taste profile: Sweet-tart, firm, bright red

Marathi name: Camarosa Strawberry"
13,Festival,USA/Maharashtra,"Very sweet, aromatic, deep red",Fragaria × ananassa cv. Festival,Festival Strawberry,Sweet flavour; Mahabaleshwar and Panchgani; popular with tourists.,"Sweet flavour; Mahabaleshwar and Panchgani; popular with tourists.

Scientific name: Fragaria × ananassa cv. Festival

Origin: USA/Maharashtra

Taste profile: Very sweet, aromatic, deep red

Marathi name: Festival Strawberry"
13,Sweet Charlie,USA/Maharashtra,"Very sweet, aromatic, early season",Fragaria × ananassa cv. Sweet Charlie,Sweet Charlie Strawberry,Early bearing; soft fruit; excellent flavour; Mahabaleshwar.,"Early bearing; soft fruit; excellent flavour; Mahabaleshwar.

Scientific name: Fragaria × ananassa cv. Sweet Charlie

Origin: USA/Maharashtra

Taste profile: Very sweet, aromatic, early season

Marathi name: Sweet Charlie Strawberry"
14,Poona Fig (Dinkar),Maharashtra,"Very sweet, golden-green skin, soft, aromatic",Ficus carica cv. Poona,Poona Anjeer,"GI-tagged Purandar fig; unique sweetness; grown exclusively in Purandar, Pune; best eaten fresh; limited production, premium price.","GI-tagged Purandar fig; unique sweetness; grown exclusively in Purandar, Pune; best eaten fresh; limited production, premium price.

Scientific name: Ficus carica cv. Poona

Origin: Maharashtra

Taste profile: Very sweet, golden-green skin, soft, aromatic

Marathi name: Poona Anjeer"
15,Umran,Rajasthan/Maharashtra,"Sweet, large, firm, low acidity",Ziziphus mauritiana cv. Umran,Umran Bor,"Most popular commercial variety; large oval fruit; good shelf life; Solapur, Aurangabad.","Most popular commercial variety; large oval fruit; good shelf life; Solapur, Aurangabad.

Scientific name: Ziziphus mauritiana cv. Umran

Origin: Rajasthan/Maharashtra

Taste profile: Sweet, large, firm, low acidity

Marathi name: Umran Bor"
15,Gola,Maharashtra,"Sweet-sour, round, medium size",Ziziphus mauritiana cv. Gola,Gola Bor,Traditional variety; good domestic market; Marathwada and Vidarbha.,"Traditional variety; good domestic market; Marathwada and Vidarbha.

Scientific name: Ziziphus mauritiana cv. Gola

Origin: Maharashtra

Taste profile: Sweet-sour, round, medium size

Marathi name: Gola Bor"
16,Indrayani,Maharashtra,"Aromatic, soft, sticky when cooked",Oryza sativa cv. Indrayani,Indrayani Tandul,"GI-tagged; developed at Dr BSKKV, Dapoli; grown in Pune, Nashik and Konkan; premium price; very popular in Pune city market.","GI-tagged; developed at Dr BSKKV, Dapoli; grown in Pune, Nashik and Konkan; premium price; very popular in Pune city market.

Scientific name: Oryza sativa cv. Indrayani

Origin: Maharashtra

Taste profile: Aromatic, soft, sticky when cooked

Marathi name: Indrayani Tandul"
16,Ambemohar,Maharashtra,"Highly aromatic (mango blossom scent), soft, short grain",Oryza sativa cv. Ambemohar,Ambemohar Tandul,Heritage aromatic variety; Pune and Konkan hills; named for its mango-blossom aroma; slow cooking; festival and high-value rice.,"Heritage aromatic variety; Pune and Konkan hills; named for its mango-blossom aroma; slow cooking; festival and high-value rice.

Scientific name: Oryza sativa cv. Ambemohar

Origin: Maharashtra

Taste profile: Highly aromatic (mango blossom scent), soft, short grain

Marathi name: Ambemohar Tandul"
16,Kolam,Maharashtra,"Slightly aromatic, slender, fluffy on cooking",Oryza sativa cv. Kolam,Kolam Tandul,"Very popular in Mumbai-Pune; medium-slender grain; widely used for daily cooking; Nashik, Konkan.","Very popular in Mumbai-Pune; medium-slender grain; widely used for daily cooking; Nashik, Konkan.

Scientific name: Oryza sativa cv. Kolam

Origin: Maharashtra

Taste profile: Slightly aromatic, slender, fluffy on cooking

Marathi name: Kolam Tandul"
16,HMT,India,"Mild aroma, long grain, non-sticky",Oryza sativa cv. HMT,HMT Tandul,Named for its resemblance to HMT watches (long slim grain); popular across Maharashtra; biryani rice.,"Named for its resemblance to HMT watches (long slim grain); popular across Maharashtra; biryani rice.

Scientific name: Oryza sativa cv. HMT

Origin: India

Taste profile: Mild aroma, long grain, non-sticky

Marathi name: HMT Tandul"
16,Jaya,India (IRRI origin),"Plain, non-aromatic, high-yield",Oryza sativa cv. Jaya,Jaya Tandul,High-yielding semi-dwarf; widely grown in irrigated areas of Vidarbha and Marathwada.,"High-yielding semi-dwarf; widely grown in irrigated areas of Vidarbha and Marathwada.

Scientific name: Oryza sativa cv. Jaya

Origin: India (IRRI origin)

Taste profile: Plain, non-aromatic, high-yield

Marathi name: Jaya Tandul"
16,Swarna,India,"Non-aromatic, medium-bold, high yield",Oryza sativa cv. Swarna (MTU 7029),Swarna Tandul,Most widely grown HYV rice in Maharashtra; Vidarbha; flood tolerant; rainfed and irrigated.,"Most widely grown HYV rice in Maharashtra; Vidarbha; flood tolerant; rainfed and irrigated.

Scientific name: Oryza sativa cv. Swarna (MTU 7029)

Origin: India

Taste profile: Non-aromatic, medium-bold, high yield

Marathi name: Swarna Tandul"
16,Basmati,India,"Very aromatic, extra long slender grain, fluffy",Oryza sativa cv. Basmati,Basmati Tandul,Grown in Nashik and parts of Marathwada; mostly for export and premium market.,"Grown in Nashik and parts of Marathwada; mostly for export and premium market.

Scientific name: Oryza sativa cv. Basmati

Origin: India

Taste profile: Very aromatic, extra long slender grain, fluffy

Marathi name: Basmati Tandul"
